"ID";"WoonlandVanGasten";"RegioS";"Perioden";"Gasten_1"
"4432";"T001047";"GM0363";"2012JJ00";"5738"
"4449";"T001047";"GM0363";"2013JJ00";"6024"
"4466";"T001047";"GM0363";"2014JJ00";"6670"
"4483";"T001047";"GM0363";"2015JJ00";"6826"
"4500";"T001047";"GM0363";"2016JJ00";"7270"
"4517";"T001047";"GM0363";"2017JJ00";"8260"
"4534";"T001047";"GM0363";"2018JJ00";"8577"
"4551";"T001047";"GM0363";"2019JJ00";"9209"
"4568";"T001047";"GM0363";"2020JJ00";"2959"
"4585";"T001047";"GM0363";"2021JJ00";"2887"
"4602";"T001047";"GM0363";"2022JJ00";"6989"
